Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
10446,Linde 15,Linde 15,Assembly-8,84191-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/25/22 12:08 PM,11/25/22 12:58 PM,11/25/22 12:58 PM,00:03,0
10445,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:08 PM,11/25/22 12:58 PM,11/25/22 12:58 PM,00:01,0
10444,Linde 15,Linde 15,Assembly-5,84101-T20-A115-M1-NH900L-WIP,Completed,Replenishment,11/25/22 12:06 PM,11/25/22 12:49 PM,11/25/22 12:58 PM,08:57,0
10443,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:05 PM,11/25/22 12:48 PM,11/25/22 12:48 PM,00:10,0
10442,,,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,11/25/22 12:03 PM,,11/25/22 01:13 PM,,0
10441,,,Assembly-9,84141-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/25/22 12:01 PM,,11/25/22 01:13 PM,,0
10440,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-MAP,Completed,F/G Put Away,11/25/22 12:01 PM,11/25/22 12:48 PM,11/25/22 12:48 PM,00:02,0
10439,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/25/22 12:01 PM,11/25/22 12:38 PM,11/25/22 12:38 PM,00:01,0
10438,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/25/22 11:53 AM,11/25/22 12:38 PM,11/25/22 12:38 PM,00:02,0
10437,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/25/22 11:52 AM,11/25/22 12:32 PM,11/25/22 12:38 PM,05:33,0
10436,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 11:51 AM,11/25/22 12:28 PM,11/25/22 12:28 PM,00:03,0
10435,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 11:49 AM,11/25/22 12:27 PM,11/25/22 12:27 PM,00:02,0
10434,Linde 17,Linde 17,Assembly-12,74415-T20-A000-HCM,Completed,Container Move,11/25/22 11:48 AM,11/25/22 01:04 PM,11/25/22 01:16 PM,11:52,719
10433,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-MAP,Completed,F/G Put Away,11/25/22 11:46 AM,11/25/22 12:24 PM,11/25/22 12:24 PM,00:55,0
10432,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/25/22 11:46 AM,11/25/22 12:23 PM,11/25/22 12:23 PM,00:01,0
10431,Linde 15,Linde 15,Assembly-5,84101-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,11/25/22 11:46 AM,11/25/22 12:23 PM,11/25/22 12:23 PM,00:03,0
10430,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/25/22 11:42 AM,11/25/22 12:23 PM,11/25/22 12:23 PM,00:01,0
10429,Linde 15,Linde 15,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 11:42 AM,11/25/22 12:23 PM,11/25/22 12:23 PM,00:01,0
10428,Linde 17,Linde 17,Assembly-14,74465-T20-A000-HCM,Completed,Container Move,11/25/22 11:41 AM,11/25/22 12:12 PM,11/25/22 01:04 PM,51:45,3646
10427,Linde 17,Linde 17,Assembly-17,74110-T20-A000-AHM,Completed,F/G Put Away,11/25/22 11:37 AM,11/25/22 12:12 PM,11/25/22 12:12 PM,00:02,0
10426,Linde 15,Linde 15,Assembly-4,84151-3S5-A110-M1-NH900L-MAP,Completed,F/G Put Away,11/25/22 11:37 AM,11/25/22 11:57 AM,11/25/22 12:23 PM,26:12,299
